"UserAccount Name","herkky"
"Title","Trip 2026/05/11 12:39 P.M. Krabi"
"Comment",""
"Vehicle Nickname","KLE500"
"Distance",
"Time",189
"R.Score",

"elapsed_msec","gps_latitude","gps_longitude","instant_fuel_consumption","water_temperature","boost_temperature","engine_RPM","wheel_speed","acceleration","throttle_position","boost_pressure","gear_position","brake_pressure_fr_caliper","lean_angle","rideology_score"
54.980000,8.073869,98.910851,0.000000,96.000000,0.000000,1612,0,0.000000,0,0,1,0.000000,0,0
55.980000,8.073869,98.910851,0.000000,96.000000,0.000000,1551,0,0.000000,0,0,1,0.000000,0,0
56.980000,8.073869,98.910851,0.000000,96.000000,0.000000,1545,0,0.000000,0,0,1,0.000000,0,0
57.980000,8.073869,98.910851,0.000000,96.000000,0.000000,1547,0,0.000000,0,0,1,0.000000,0,0
58.980000,8.073869,98.910851,0.000000,96.000000,0.000000,1702,0,0.000000,0,0,1,0.000000,0,0
59.980000,8.073869,98.910851,0.000000,96.000000,0.000000,1794,1,0.000000,0,0,1,0.000000,0,0
60.980000,8.073879,98.910843,0.000000,96.000000,0.000000,1839,1,0.000000,0,0,1,0.000000,0,0
61.980000,8.073879,98.910843,0.000000,97.000000,0.000000,1940,1,0.000000,0,0,1,0.000000,0,0
62.980000,8.073879,98.910843,0.000000,97.000000,0.000000,2791,1,0.000000,0,0,1,0.000000,0,0
63.980000,8.073879,98.910843,0.000000,97.000000,0.000000,3019,2,0.000000,0,0,1,0.000000,0,0
64.980003,8.073879,98.910843,0.000000,98.000000,0.000000,3252,8,0.000000,0,0,1,0.000000,0,0
65.980003,8.073879,98.910843,0.000000,98.000000,0.000000,3141,12,0.000000,0,0,1,0.000000,0,0
66.980003,8.073888,98.910835,0.000000,98.000000,0.000000,3359,19,0.000000,0,0,1,0.000000,0,0
67.980003,8.073923,98.910812,0.000000,98.000000,0.000000,4051,24,0.000000,0,0,1,0.000000,0,0
68.980003,8.073923,98.910667,0.000000,99.000000,0.000000,5009,30,0.000000,0,0,1,0.000000,0,0
69.980003,8.073994,98.910637,0.000000,99.000000,0.000000,5430,33,0.000000,0,0,2,0.000000,0,0
70.980003,8.074070,98.910591,0.000000,99.000000,0.000000,3928,34,0.000000,0,0,2,0.000000,0,0
71.980003,8.074147,98.910553,0.000000,99.000000,0.000000,3930,35,0.000000,0,0,2,0.000000,0,0
72.980003,8.074222,98.910507,0.000000,100.000000,0.000000,4156,36,0.000000,0,0,2,0.000000,0,0
73.980003,8.074299,98.910454,0.000000,100.000000,0.000000,4252,37,0.000000,0,0,2,0.000000,0,0
74.980003,8.074379,98.910408,0.000000,100.000000,0.000000,4400,39,0.000000,0,0,2,0.000000,0,0
75.980003,8.074465,98.910362,0.000000,100.000000,0.000000,4574,40,0.000000,0,0,2,0.000000,0,0
76.980003,8.074552,98.910309,0.000000,101.000000,0.000000,4642,41,0.000000,0,0,2,0.000000,0,0
77.980003,8.074640,98.910255,0.000000,101.000000,0.000000,4874,43,0.000000,0,0,2,0.000000,0,0
78.980003,8.074731,98.910202,0.000000,101.000000,0.000000,4953,44,0.000000,0,0,2,0.000000,0,0
79.980003,8.074825,98.910141,0.000000,101.000000,0.000000,5122,45,0.000000,0,0,2,0.000000,0,0
80.980003,8.074921,98.910080,0.000000,101.000000,0.000000,5084,45,0.000000,0,0,3,0.000000,0,0
81.980003,8.075021,98.910027,0.000000,101.000000,0.000000,3612,43,0.000000,0,0,3,0.000000,0,0
82.980003,8.075113,98.909966,0.000000,101.000000,0.000000,3369,39,0.000000,0,0,3,0.000000,0,0
83.980003,8.075198,98.909920,0.000000,101.000000,0.000000,3409,38,0.000000,0,0,3,0.000000,0,0
84.980003,8.075280,98.909866,0.000000,101.000000,0.000000,3292,37,0.000000,0,0,3,0.000000,0,0
85.980003,8.075358,98.909821,0.000000,101.000000,0.000000,2703,36,0.000000,0,0,3,0.000000,0,0
86.980003,8.075438,98.909775,0.000000,101.000000,0.000000,1612,34,0.000000,0,0,3,0.000000,0,0
87.980003,8.075511,98.909729,0.000000,101.000000,0.000000,1543,33,0.000000,0,0,3,0.000000,0,0
88.980003,8.075582,98.909691,0.000000,101.000000,0.000000,1541,31,0.000000,0,0,3,0.000000,0,0
89.980003,8.075647,98.909653,0.000000,101.000000,0.000000,1593,28,0.000000,0,0,3,0.000000,0,0
90.980003,8.075706,98.909622,0.000000,101.000000,0.000000,1554,22,0.000000,0,0,3,0.000000,0,0
91.980003,8.075748,98.909599,0.000000,101.000000,0.000000,1585,15,0.000000,0,0,2,0.000000,0,0
92.980003,8.075771,98.909584,0.000000,101.000000,0.000000,1541,10,0.000000,0,0,2,0.000000,0,0
93.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1611,7,0.000000,0,0,2,0.000000,0,0
94.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1573,2,0.000000,0,0,2,0.000000,0,0
95.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1579,0,0.000000,0,0,2,0.000000,0,0
96.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1528,0,0.000000,0,0,0,0.000000,0,0
97.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1490,0,0.000000,0,0,0,0.000000,0,0
98.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1465,0,0.000000,0,0,0,0.000000,0,0
99.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1385,0,0.000000,0,0,0,0.000000,0,0
100.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1410,0,0.000000,0,0,0,0.000000,0,0
101.980003,8.075784,98.909576,0.000000,101.000000,0.000000,1398,0,0.000000,0,0,0,0.000000,0,0
102.980003,8.075784,98.909576,0.000000,102.000000,0.000000,1413,0,0.000000,0,0,0,0.000000,0,0
103.980003,8.075784,98.909576,0.000000,102.000000,0.000000,1460,0,0.000000,0,0,0,0.000000,0,0
104.980003,8.075784,98.909576,0.000000,102.000000,0.000000,1358,0,0.000000,0,0,0,0.000000,0,0
105.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1372,0,0.000000,0,0,0,0.000000,0,0
106.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1421,0,0.000000,0,0,0,0.000000,0,0
107.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1363,0,0.000000,0,0,0,0.000000,0,0
108.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1392,0,0.000000,0,0,0,0.000000,0,0
109.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1392,0,0.000000,0,0,0,0.000000,0,0
110.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1387,0,0.000000,0,0,0,0.000000,0,0
111.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1353,0,0.000000,0,0,0,0.000000,0,0
112.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1420,0,0.000000,0,0,0,0.000000,0,0
113.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1413,0,0.000000,0,0,0,0.000000,0,0
114.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1385,0,0.000000,0,0,0,0.000000,0,0
115.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1396,0,0.000000,0,0,0,0.000000,0,0
116.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1387,0,0.000000,0,0,0,0.000000,0,0
117.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1368,0,0.000000,0,0,0,0.000000,0,0
118.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1398,0,0.000000,0,0,0,0.000000,0,0
119.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1369,0,0.000000,0,0,0,0.000000,0,0
120.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1387,0,0.000000,0,0,0,0.000000,0,0
121.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1336,0,0.000000,0,0,0,0.000000,0,0
122.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1424,0,0.000000,0,0,0,0.000000,0,0
123.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1361,0,0.000000,0,0,0,0.000000,0,0
124.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1428,0,0.000000,0,0,0,0.000000,0,0
125.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1413,0,0.000000,0,0,0,0.000000,0,0
126.980003,8.075784,98.909576,0.000000,104.000000,0.000000,1444,0,0.000000,0,0,0,0.000000,0,0
127.980003,8.075784,98.909576,0.000000,103.000000,0.000000,1388,0,0.000000,0,0,0,0.000000,0,0
128.979004,8.075784,98.909576,0.000000,103.000000,0.000000,1407,0,0.000000,0,0,0,0.000000,0,0
129.979004,8.075784,98.909576,0.000000,103.000000,0.000000,1389,0,0.000000,0,0,0,0.000000,0,0
